eval_count,avg,std,min,max,best_individual
15,0.09403934038096044,0.03097587294153153,0.020761409384254106,0.12728979808869456,protected_sqrt(c)
19,0.09805647340594073,0.03182337019791594,0.020761409384254106,0.12728979808869456,protected_sqrt(c)
23,0.11046081034488878,0.021907693377511014,0.0706341680097181,0.14480477877373457,"protected_sqrt(protected_div(add(square(protected_sqrt(e)), add(protected_sqrt(c), protected_div(c, c))), multiply(subtract(c, square(b)), add(square(c), protected_sqrt(c)))))"
28,0.1762617425061125,0.19466504887612168,0.0706341680097181,0.7566668809716539,"add(c, d)"
32,0.18171306725073177,0.19238064691140822,0.07922676572569622,0.7566668809716539,"add(c, d)"
36,0.1838535221747592,0.19183108658595166,0.07922676572569622,0.7566668809716539,"add(c, d)"
40,0.24966696289430682,0.2540694847340707,0.07922676572569622,0.7566668809716539,"add(c, d)"
44,0.25050673431886167,0.253645555594234,0.07922676572569622,0.7566668809716539,"add(c, d)"
48,0.25050673431886167,0.253645555594234,0.07922676572569622,0.7566668809716539,"add(c, d)"
53,0.3117571703618282,0.2916733655698264,0.07922676572569622,0.7566668809716539,"add(d, c)"
58,0.35494140958500997,0.2859614687286638,0.12220968795008957,0.7566668809716539,"add(d, c)"
62,0.4138590855758764,0.29256037010978014,0.1227579713017141,0.7566668809716539,"add(d, c)"
66,0.4727219332315805,0.287236840572667,0.12514741545591057,0.7566668809716539,"add(d, c)"
70,0.5300134108910518,0.2689476293812436,0.12514741545591057,0.7566668809716539,"add(d, c)"
74,0.5871893730824016,0.23601360787896958,0.12514741545591057,0.7566668809716539,"add(d, c)"
78,0.6117491453838156,0.23956643033096256,0.12514741545591057,0.7566668809716539,"add(d, c)"
82,0.6729353556036076,0.18424096471295695,0.12514741545591057,0.7566668809716539,"add(d, c)"
86,0.6741690583892638,0.18445288089216103,0.12514741545591057,0.7566668809716539,"add(d, c)"
90,0.7327929616295481,0.024127581836148774,0.6990494200021936,0.7566668809716539,"add(d, c)"
94,0.7373210049408381,0.02393343996011769,0.6990494200021936,0.7566668809716539,"add(d, c)"
98,0.7373210049408381,0.02393343996011769,0.6990494200021936,0.7566668809716539,"add(d, c)"
101,0.7373210049408381,0.02393343996011769,0.6990494200021936,0.7566668809716539,"add(d, c)"
