eval_count,avg,std,min,max,best_individual
14,0.020711890081289368,0.02829281572742731,-0.03844608243771439,0.056361761843225104,"add(multiply(protected_sqrt(e), a), protected_div(square(a), c))"
18,0.020711890081289368,0.02829281572742731,-0.03844608243771439,0.056361761843225104,"add(multiply(protected_sqrt(e), a), protected_div(square(a), c))"
23,0.022662595099376355,0.02996181634218797,-0.03844608243771439,0.056361761843225104,"add(multiply(protected_sqrt(e), a), protected_div(square(a), c))"
28,0.0233889491721038,0.029772241436257302,-0.03844608243771439,0.056361761843225104,"add(multiply(protected_sqrt(e), a), protected_div(square(a), c))"
33,0.03848304221140095,0.05760658112029634,-0.03844608243771439,0.18697214383117755,"add(multiply(protected_sqrt(e), a), subtract(b, protected_sqrt(b)))"
37,0.05190039684169736,0.053613208654347454,-0.015782118626957185,0.18697214383117755,"add(multiply(protected_sqrt(e), a), subtract(b, protected_sqrt(b)))"
41,0.05778767206198682,0.05485581144083341,-0.015782118626957185,0.18697214383117755,"add(multiply(protected_sqrt(e), a), subtract(b, protected_sqrt(b)))"
45,0.05938979875622308,0.05455599107150302,-0.015782118626957185,0.18697214383117755,"add(multiply(protected_sqrt(e), a), subtract(b, protected_sqrt(b)))"
49,0.06863640707097442,0.0520370930767155,-0.015782118626957185,0.18697214383117755,"add(multiply(protected_sqrt(e), a), subtract(b, protected_sqrt(b)))"
53,0.0846408817185137,0.05848020190855622,-0.015782118626957185,0.18697214383117755,"add(multiply(protected_sqrt(e), a), subtract(b, protected_sqrt(b)))"
58,0.08857745192071616,0.05776467604502055,-0.015782118626957185,0.18697214383117755,"add(multiply(protected_sqrt(e), a), subtract(b, protected_sqrt(b)))"
62,0.08857745192071616,0.05776467604502055,-0.015782118626957185,0.18697214383117755,"add(multiply(protected_sqrt(e), a), subtract(b, protected_sqrt(b)))"
67,0.10137457407042967,0.07066579065481811,-0.015782118626957185,0.22369868536238488,"add(a, protected_sqrt(subtract(b, b)))"
71,0.12104633092814883,0.06218601276572197,0.040043976214005225,0.22369868536238488,"add(a, protected_sqrt(subtract(b, b)))"
75,0.12661467969327328,0.05695665046102828,0.056361761843225104,0.22369868536238488,"add(a, protected_sqrt(subtract(b, b)))"
79,0.14383342376892155,0.059102388560605235,0.056361761843225104,0.22854920259970773,"add(multiply(protected_sqrt(e), a), subtract(b, subtract(b, b)))"
83,0.15663054591863507,0.061120812014958836,0.056361761843225104,0.22854920259970773,"add(multiply(protected_sqrt(e), a), subtract(b, subtract(b, b)))"
87,0.16942766806834858,0.06042253154691332,0.056361761843225104,0.22854920259970773,"add(multiply(protected_sqrt(e), a), subtract(b, subtract(b, b)))"
91,0.1824887062671438,0.04725127032827535,0.09572746386524973,0.22854920259970773,"add(multiply(protected_sqrt(e), a), subtract(b, subtract(b, b)))"
95,0.19577088014058963,0.038931632623863836,0.09572746386524973,0.22854920259970773,"add(multiply(protected_sqrt(e), a), subtract(b, subtract(b, b)))"
99,0.19577088014058963,0.038931632623863836,0.09572746386524973,0.22854920259970773,"add(multiply(protected_sqrt(e), a), subtract(b, subtract(b, b)))"
103,0.20061642463479448,0.03978962499963148,0.09572746386524973,0.2293908948922831,"add(multiply(protected_sqrt(a), a), subtract(b, subtract(b, b)))"
