eval_count,avg,std,min,max,best_individual
14,0.08424861030791891,0.09313172565570907,-0.016779579032175418,0.3251233306640336,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(a, d)))), a)"
18,0.10274218511315245,0.10004184652891539,-0.016779579032175418,0.3251233306640336,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(a, d)))), a)"
23,0.12158842948161634,0.09660429981575833,-0.016779579032175418,0.3251233306640336,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(a, d)))), a)"
27,0.1446606896033462,0.08796833553673698,0.03391408906271899,0.3251233306640336,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(a, d)))), a)"
31,0.1580225976482737,0.08855900284536086,0.03391408906271899,0.3251233306640336,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(a, d)))), a)"
35,0.16253899395880256,0.08309772009571854,0.03711715879718134,0.3251233306640336,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(a, d)))), a)"
40,0.19072242300984704,0.08357240787080991,0.07907805216800753,0.3251233306640336,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(a, d)))), a)"
44,0.2007836198328778,0.07961216551506381,0.07907805216800753,0.3251233306640336,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(a, d)))), a)"
48,0.21495345612112032,0.06879123972711361,0.07907805216800753,0.3251233306640336,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(a, d)))), a)"
53,0.2563246214729763,0.0943066644407478,0.1438745204681003,0.4927897056865678,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(multiply(subtract(protected_sqrt(subtract(subtract(c, c), subtract(d, a))), subtract(protected_sqrt(square(e)), subtract(multiply(c, e), protected_sqrt(a)))), protected_div(add(subtract(subtract(a, c), multiply(e, e)), square(add(a, d))), square(square(square(a))))), d)))), a)"
58,0.26790172225294034,0.09647007894662925,0.1438745204681003,0.4927897056865678,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, d), a), square(subtract(multiply(subtract(protected_sqrt(subtract(subtract(c, c), subtract(d, a))), subtract(protected_sqrt(square(e)), subtract(multiply(c, e), protected_sqrt(a)))), protected_div(add(subtract(subtract(a, c), multiply(e, e)), square(add(a, d))), square(square(square(a))))), d)))), a)"
63,0.3102869120987791,0.1469298931675144,0.1438745204681003,0.6459048053079047,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, a), a), square(subtract(multiply(subtract(protected_sqrt(subtract(subtract(c, c), subtract(d, a))), subtract(protected_sqrt(square(e)), subtract(multiply(c, e), protected_sqrt(a)))), protected_div(add(subtract(subtract(a, c), multiply(e, e)), square(add(a, d))), square(square(square(a))))), multiply(a, e))))), a)"
68,0.36132047895156855,0.1674603899160834,0.1884624436846389,0.6542101889959945,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, a), a), square(subtract(multiply(subtract(protected_sqrt(subtract(subtract(c, c), subtract(d, a))), subtract(protected_sqrt(square(e)), subtract(multiply(c, e), protected_sqrt(a)))), protected_div(add(subtract(subtract(a, c), multiply(square(a), e)), square(add(a, d))), square(square(square(a))))), multiply(a, e))))), a)"
72,0.373485359106393,0.18048117837612682,0.1884624436846389,0.6542101889959945,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, a), a), square(subtract(multiply(subtract(protected_sqrt(subtract(subtract(c, c), subtract(d, a))), subtract(protected_sqrt(square(e)), subtract(multiply(c, e), protected_sqrt(a)))), protected_div(add(subtract(subtract(a, c), multiply(square(a), e)), square(add(a, d))), square(square(square(a))))), multiply(a, e))))), a)"
76,0.373485359106393,0.18048117837612682,0.1884624436846389,0.6542101889959945,"add(add(protected_div(square(protected_sqrt(e)), e), protected_div(multiply(protected_div(b, a), a), square(subtract(multiply(subtract(protected_sqrt(subtract(subtract(c, c), subtract(d, a))), subtract(protected_sqrt(square(e)), subtract(multiply(c, e), protected_sqrt(a)))), protected_div(add(subtract(subtract(a, c), multiply(square(a), e)), square(add(a, d))), square(square(square(a))))), multiply(a, e))))), a)"
