eval_count,avg,std,min,max,best_individual
15,-0.0016016367234132744,0.008910125505105587,-0.00982526743682513,0.0211994574746388,"protected_div(a, square(c))"
20,0.0010745437935775661,0.011265620276620045,-0.00982526743682513,0.021996402843255252,"protected_div(a, square(protected_div(square(protected_div(a, protected_sqrt(a))), protected_sqrt(multiply(b, c)))))"
24,0.0011820946122137028,0.011273402340569194,-0.00982526743682513,0.021996402843255252,"protected_div(a, square(protected_div(square(protected_div(a, protected_sqrt(a))), protected_sqrt(multiply(b, c)))))"
28,0.0012732374807417589,0.011287215202347656,-0.00982526743682513,0.021996402843255252,"protected_div(a, square(protected_div(square(protected_div(a, protected_sqrt(a))), protected_sqrt(multiply(b, c)))))"
33,0.004342672190203225,0.01223863807118398,-0.00982526743682513,0.021996402843255252,"protected_div(a, square(protected_div(square(protected_div(a, protected_sqrt(a))), protected_sqrt(multiply(b, c)))))"
37,0.006276400353628253,0.013272986839330638,-0.00982526743682513,0.021996402843255252,"protected_div(a, square(protected_div(square(protected_div(a, protected_sqrt(a))), protected_sqrt(multiply(b, c)))))"
42,0.007791476767848313,0.012167200758906383,-0.00888050025426052,0.021996402843255252,"protected_div(a, square(protected_div(square(protected_div(a, protected_sqrt(a))), protected_sqrt(multiply(b, c)))))"
46,0.02024241563441672,0.03460303652973127,-0.00888050025426052,0.11841020430075615,"add(b, subtract(d, c))"
50,0.0214618276385069,0.034200290936321195,-0.00888050025426052,0.11841020430075615,"add(b, subtract(d, c))"
55,0.022340059986236158,0.03351576197726562,-0.0060152570408004485,0.11841020430075615,"add(b, subtract(d, c))"
60,0.039648502712994825,0.05516161832048938,-0.0060152570408004485,0.1729862504906187,"add(d, subtract(add(b, d), c))"
64,0.04993081803973858,0.05915676922604359,-0.0060152570408004485,0.1729862504906187,"add(d, subtract(add(b, d), c))"
69,0.04997909209543459,0.059133987364189775,-0.0060152570408004485,0.1729862504906187,"add(d, subtract(add(b, d), c))"
73,0.0697217409882591,0.07681063280152482,-0.0060152570408004485,0.21942289177150046,"add(b, subtract(d, square(protected_div(a, protected_sqrt(a)))))"
77,0.08954408441794527,0.08667496909241629,-0.0060152570408004485,0.21942289177150046,"add(b, subtract(d, square(protected_div(a, protected_sqrt(a)))))"
81,0.10957694304305246,0.08759384302270358,-0.0060152570408004485,0.21942289177150046,"add(b, subtract(d, square(protected_div(a, protected_sqrt(a)))))"
85,0.11981028169604628,0.09378677850895967,-0.0060152570408004485,0.2207435908306944,"add(d, d)"
89,0.12704487149894772,0.08629264806838718,0.005325496705375455,0.2207435908306944,"add(d, d)"
93,0.12912120675934827,0.0835449649240525,0.02180124516518453,0.2207435908306944,"add(d, d)"
97,0.14726495991148267,0.0778823910666163,0.02180124516518453,0.2207435908306944,"add(d, d)"
101,0.16587992477961663,0.07855660433638995,0.02180124516518453,0.25248028966955366,"add(b, d)"
