eval_count,avg,std,min,max,best_individual
14,0.007912211272381195,0.14982394643082989,-0.08630802633174842,0.4323217015407556,"add(c, d)"
18,0.03123641308337415,0.1514864903615853,-0.08026703465596702,0.4323217015407556,"add(c, d)"
21,0.03123641308337415,0.1514864903615853,-0.08026703465596702,0.4323217015407556,"add(c, d)"
26,0.050182914405762155,0.14816776145037566,-0.08026703465596702,0.4323217015407556,"add(c, d)"
30,0.050182914405762155,0.14816776145037566,-0.08026703465596702,0.4323217015407556,"add(c, d)"
34,0.05351076093964084,0.1459209978948942,-0.08026703465596702,0.4323217015407556,"add(c, d)"
39,0.08587518634877842,0.15994816721592484,-0.08026703465596702,0.4323217015407556,"add(c, d)"
44,0.10079325597904405,0.1504304256665618,-0.07478449014048212,0.4323217015407556,"add(c, d)"
49,0.10683879656213009,0.1443444672836264,-0.030789527232350837,0.4323217015407556,"add(c, d)"
53,0.11689097254641193,0.14061026420068828,-0.030789527232350837,0.4323217015407556,"add(c, d)"
58,0.12220069837409661,0.13585543480491546,-0.030789527232350837,0.4323217015407556,"add(c, d)"
62,0.15451307067138087,0.16435694798464717,-0.030789527232350837,0.4323217015407556,"add(c, d)"
66,0.1798763220001698,0.16154424316763716,-0.030789527232350837,0.4323217015407556,"add(c, d)"
71,0.18974320047321322,0.15742626829190287,-0.030789527232350837,0.4323217015407556,"add(c, d)"
74,0.18974320047321322,0.15742626829190287,-0.030789527232350837,0.4323217015407556,"add(c, d)"
78,0.20187874037015413,0.1440690961806946,-0.014329084309621713,0.4323217015407556,"add(c, d)"
83,0.20691183657392737,0.13714045146362347,0.03600187772811081,0.4323217015407556,"add(c, d)"
87,0.22179455536817788,0.13167335623048168,0.03600187772811081,0.4323217015407556,"add(c, d)"
91,0.22179455536817788,0.13167335623048168,0.03600187772811081,0.4323217015407556,"add(c, d)"
95,0.2503333263444354,0.14281165506225268,0.03600187772811081,0.4323217015407556,"add(c, d)"
99,0.2743271630048628,0.12365774970546536,0.08045358397759086,0.4323217015407556,"add(c, d)"
103,0.2743271630048628,0.12365774970546536,0.08045358397759086,0.4323217015407556,"add(c, d)"
